id,epic,feature,task,status,assignee,column,type,review_gate,path
0002,,,0002-csv,backlog,architect,Task,task,yes,devops-bootstrap
0003,,,github-repo,backlog,architect,Done,task,yes,devops-bootstrap
0004,,,0004,backlog,architect,Backlog,task,yes,devops-bootstrap
0005,,,0005-sync-stories,backlog,architect,Backlog,task,yes,devops-bootstrap
0006,,,0006,backlog,architect,Backlog,task,yes — output is a written report for Mickey,devops-bootstrap
0007,,,copy-agents,backlog,architect,Done,task,yes,
0008,,,0008,backlog,architect,Backlog,task,yes — Mickey manually tests each wrapper,devops-bootstrap
0009,,,windsurf-wrappers,backlog,architect,Backlog,task,yes — Mickey manually tests each wrapper,devops-bootstrap
0010,,,cline-wrappers,backlog,architect,Backlog,task,yes — Mickey manually tests each wrapper,devops-bootstrap
0011,,,0011,backlog,architect,Backlog,task,yes,devops-bootstrap
0012,,,0012,backlog,architect,Done,task,yes,devops-bootstrap
0013,,,0013,backlog,architect,Task,task,yes,devops-bootstrap/0013-features-cli-core
0014,,,0014,backlog,architect,Task,task,yes,devops-bootstrap/0014-features-cli-git
0015,,,meeting-workflow,backlog,architect,Backlog,task,yes — Mickey manually runs a meeting end-to-end,devops-bootstrap
0016,,,0016,backlog,architect,Backlog,task,yes — HLD reviewed for config format and backward compatibility,devops-bootstrap
0017,,,kanban-housekeeping,backlog,architect,Backlog,task,no,devops-bootstrap
0018,,,0018-kanban,HLD,,HLD-Review,feature,yes,devops-bootstrap
0018,,,kanban,HLD-Review,,HLD-Review,feature,yes,devops-bootstrap
0019,,,4char,HLD,architect,HLD-Review,task,yes,devops-bootstrap
0640af,23a043,bd72df,csv-to-folders,backlog,architect,Task,task,yes,devops-bootstrap/csv-two-way-sync
06ef91,23a043,95d961,cli-entrypoint,backlog,agent,Task,task,no,devops-bootstrap/0013-features-cli-core
074028,23a043,95d961,new-id-command,backlog,agent,Task,task,no,devops-bootstrap/0013-features-cli-core
10552f,23a043,e9245d,update-agent-howtos,backlog,agent,Review,task,no,devops-bootstrap/workflow-schema-update
2d7440,23a043,95d961,kanban-doc-update,backlog,agent,Task,task,no,devops-bootstrap/0013-features-cli-core
3075d4,devops-bootstrap,0015,meeting-protocol,TaskReview,agent,Task,task,yes,devops-bootstrap/0015-meeting-workflow
351816,b63578,0018,housekeeping-update,Task,,Task,task,yes,devops-bootstrap/0018-kanban-sync-config
369f,6099,a4c1,enhance-push-script,backlog,agent,Task,task,yes,devops-infrastructure-6099/push-to-template
385474,23a043,bd72df,folders-to-csv,backlog,architect,TaskReview,task,yes,devops-bootstrap/csv-two-way-sync
3cda27,23a043,bd72df,pre-commit-hook,backlog,architect,Task,task,yes,devops-bootstrap/csv-two-way-sync
44aa7b,devops-bootstrap,0015,meeting-docs-review,Task,human,Task,task,yes,devops-bootstrap/0015-meeting-workflow
48ec37,b63578,0018,config-setup,Task,,Task,task,yes,devops-bootstrap/0018-kanban-sync-config
4e7564,devops-bootstrap,0015,meeting-e2e-test,Test,human,Task,task,yes — Mickey manually runs a meeting end-to-end,devops-bootstrap/0015-meeting-workflow
537577,devops-bootstrap,0015,meeting-wrapper-claude,TaskReview,agent,Task,task,yes,devops-bootstrap/0015-meeting-workflow
6764ce,23a043,e9245d,update-kanban-md,backlog,agent,Review,task,no,devops-bootstrap/workflow-schema-update
73df4b,23a043,bd72df,update-howtos,backlog,architect,Task,task,yes,devops-bootstrap/csv-two-way-sync
801c74,b63578,0018,docs-update,Task,,Task,task,yes,devops-bootstrap/0018-kanban-sync-config
8166be,b63578,0018,folders-to-csv-validation,Task,,Task,task,yes,devops-bootstrap/0018-kanban-sync-config
82c4,6099,a4c1,document-push-process,backlog,agent,Task,task,yes,devops-infrastructure-6099/push-to-template
83d1,478d,83d1,dashboard-83d1,backlog,architect,Backlog,feature,yes,usability-478d
8978e7,23a043,95d961,kanban-git-doc,backlog,agent,Task,task,no,devops-bootstrap/0014-features-cli-git
8a9f1f,23a043,95d961,path-validation,backlog,agent,Task,task,no,devops-bootstrap/0013-features-cli-core
8bed76,23a043,bd72df,e2e-tests,backlog,architect,Task,task,yes,devops-bootstrap/csv-two-way-sync
8f40,478d,,script-hyphens,backlog,architect,Review,task,yes,usability-478d/8f40-script-hyphens
92bcfd,23a043,e9245d,windsurf-start-workflow,backlog,agent,Review,task,no,devops-bootstrap/workflow-schema-update
95f4b4,23a043,95d961,clean-command,backlog,agent,Task,task,no,devops-bootstrap/0013-features-cli-core
9868d2,b63578,0018,csv-to-folders-validation,Task,,Task,task,yes,devops-bootstrap/0018-kanban-sync-config
993e26,23a043,e9245d,update-csv-schema,backlog,agent,Review,task,no,devops-bootstrap/workflow-schema-update
a4c1,6099,a4c1,push,backlog,architect,Task,feature,yes,devops-infrastructure-6099
a4c1,6099,a4c1,to-template,backlog,architect,Task,feature,yes,devops-infrastructure-6099
b96e84,23a043,95d961,git-commit,backlog,agent,Task,task,no,devops-bootstrap/0014-features-cli-git
baec,6099,a4c1,test-push-workflow,backlog,agent,Task,task,yes,devops-infrastructure-6099/push-to-template
bb31,6099,a4c1,push-wrapper,backlog,agent,Task,task,yes,devops-infrastructure-6099/push-to-template
c1546f,devops-bootstrap,0015,meeting-template,TaskReview,agent,Task,task,yes,devops-bootstrap/0015-meeting-workflow
c81980,23a043,e9245d,rename-task-files,backlog,agent,Done,task,no,devops-bootstrap/workflow-schema-update
ccfb,49b5,ccfb,modular-ai,backlog,architect,Backlog,feature,yes,ai-agnostic-prompting
ce0a77,23a043,95d961,git-undo,backlog,agent,Task,task,no,devops-bootstrap/0014-features-cli-git
cff174,23a043,95d961,git-push,backlog,agent,Task,task,no,devops-bootstrap/0014-features-cli-git
d1efed,23a043,95d961,cli-git-group,backlog,agent,Task,task,no,devops-bootstrap/0014-features-cli-git
d28e7c,23a043,95d961,move-command,backlog,agent,Task,task,no,devops-bootstrap/0013-features-cli-core
d2a50f,23a043,95d961,git-stage,backlog,agent,Task,task,no,devops-bootstrap/0014-features-cli-git
db4eaa,23a043,95d961,git-utils,backlog,agent,Task,task,no,devops-bootstrap/0014-features-cli-git
e7453a,devops-bootstrap,0015,meeting-wrapper-windsurf,TaskReview,agent,Task,task,yes,devops-bootstrap/0015-meeting-workflow
fd2dbd,23a043,bd72df,migrate-ids,backlog,architect,Task,task,yes,devops-bootstrap/csv-two-way-sync
s09,,,0001,backlog,architect,Done,task,yes,
